adjective	valence	arousal	dominance
affected	0.0	0.0	0.0
affectionate	0.949	0.422	0.55
anxious	0.281	0.875	0.434
attractive	0.906	0.63	0.769
charming	0.917	0.66	0.764
complaining	0.0	0.0	0.0
curious	0.635	0.6	0.483
dependent	0.354	0.455	0.404
dreamy	0.837	0.35	0.5
emotional	0.779	0.714	0.526
fearful	0.083	0.482	0.278
feminine	0.802	0.52	0.394
fussy	0.417	0.643	0.519
meek	0.531	0.15	0.198
mild	0.635	0.198	0.216
sensitive	0.714	0.426	0.254
sexy	0.865	0.945	0.802
shy	0.28	0.153	0.132
soft-hearted	0.0	0.0	0.0
submissive	0.48	0.217	0.173
superstitious	0.281	0.545	0.514
talkative	0.562	0.673	0.535
timid	0.327	0.276	0.132
weak	0.18	0.241	0.045
whiny	0.208	0.548	0.375
